Year,Currency and deposits,Debt securities,Loans,Equity and investment fund shares,"Insurance, pension schemes",Financial derivatives,Total financial liabilities
1987,93270,21590,13644,15450,45440,0,188997
1988,91387,13467,10848,19464,48327,0,182966
1989,117343,8224,47872,19786,54712,0,260051
1990,117840,21856,11230,5453,57121,0,217506
1991,14489,-2309,34334,6440,67402,0,122924
1992,65438,-3417,28189,3104,70152,0,162814
1993,78311,-3159,106561,13873,71605,0,268653
1994,84128,26727,-51042,12494,71186,0,144805
1995,84847,35475,78888,10888,83242,0,301680
1996,187100,59694,126893,13146,88290,0,479524
1997,259606,42770,75219,16482,77390,8,467283
1998,126849,4088,-39384,16670,82567,21,189533
1999,41156,81950,33963,25199,74280,40,262205
2000,349777,53344,101219,56957,95622,97,660195
2001,284519,65072,105127,41498,74428,101,567485
2002,220250,52473,-20777,21878,85440,97,353236
2003,402895,98934,123802,35939,75097,103,755548
2004,547595,140538,182277,30080,78257,124,994748
2005,588931,189165,207767,34374,91738,138,1117555
2006,783915,255377,227412,72580,68117,159,1453859
2007,1010313,261068,274907,45193,92120,177,1649293
2008,-271164,221414,-230154,125040,84690,176,-48693
2009,217569,182863,-63841,207699,59231,173,594986
2010,30553,-8145,143585,58845,103955,179,302475
2011,153696,-79088,-72208,36251,98436,185,108807
2012,164478,-173171,84753,-7131,82630,181,117397
2013,-225176,6961,-67,14503,91888,185,-127413
2014,-121847,4561,-103532,42287,68977,188,-126158
2015,-111984,-83458,-173628,32836,77378,194,-275651
2016,295712,15400,-78515,38296,102802,190,349809
2017,520632,40405,210948,41597,80062,195,884810
2018,66647,71912,148991,-29938,80519,199,312731
2019,-24185,28918,-183575,37727,49014,205,-107142
2020,1299094,-34465,141717,61147,61686,217,1523621
2021,795190,101816,126210,-26397,58758,233,1042012
2022,-39011,-69,35847,13510,82893,247,94704
2023,-219132,61095,321171,30768,79344,251,246769
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,