Sector,vs2022
Information and communication,120.2
Real estate activities,59.8
Manufacturing,11.3
Administrative and support service activities,10.3
Total market sector,1.8
Wholesale and retail trade; repair of motor vehicles and motorcycles,-3.6
Public administration and defence; compulsory social security; Education; Human health and social activities,-5.0
Accommodation and food service activities,-6.1
"Professional, scientific and technical activities",-8.7
Construction,-9.6
Financial and insurance activities,-18.9
"Water supply; sewerage, waste management and remediation activities",-20.1
Transportation and storage,-26.2
"Arts, entertainment and recreation; Other service activities; Activities of households as employers; Activities of extraterritorial organisations and bodies",-29.4
"Electricity, gas, steam and air conditioning supply",-58.9