Sector,Year,Value
Intellectual property products,1997,3465
Intellectual property products,1998,3927
Intellectual property products,1999,3943
Intellectual property products,2000,4821
Intellectual property products,2001,4410
Intellectual property products,2002,4511
Intellectual property products,2003,5352
Intellectual property products,2004,4890
Intellectual property products,2005,5091
Intellectual property products,2006,5097
Intellectual property products,2007,5741
Intellectual property products,2008,5750
Intellectual property products,2009,5643
Intellectual property products,2010,5410
Intellectual property products,2011,5407
Intellectual property products,2012,5026
Intellectual property products,2013,5385
Intellectual property products,2014,6062
Intellectual property products,2015,5794
Intellectual property products,2016,5802
Intellectual property products,2017,6504
Intellectual property products,2018,6695
Intellectual property products,2019,6720
Intellectual property products,2020,6479
Intellectual property products,2021,5867
Intellectual property products,2022,5881
Intellectual property products,2023,5681
Machinery and equipment and weapons,1997,1304
Machinery and equipment and weapons,1998,1417
Machinery and equipment and weapons,1999,1573
Machinery and equipment and weapons,2000,2012
Machinery and equipment and weapons,2001,1591
Machinery and equipment and weapons,2002,1890
Machinery and equipment and weapons,2003,1511
Machinery and equipment and weapons,2004,1626
Machinery and equipment and weapons,2005,2368
Machinery and equipment and weapons,2006,1838
Machinery and equipment and weapons,2007,2597
Machinery and equipment and weapons,2008,2150
Machinery and equipment and weapons,2009,1774
Machinery and equipment and weapons,2010,2438
Machinery and equipment and weapons,2011,4521
Machinery and equipment and weapons,2012,5831
Machinery and equipment and weapons,2013,4884
Machinery and equipment and weapons,2014,4900
Machinery and equipment and weapons,2015,6129
Machinery and equipment and weapons,2016,6665
Machinery and equipment and weapons,2017,7149
Machinery and equipment and weapons,2018,6343
Machinery and equipment and weapons,2019,6714
Machinery and equipment and weapons,2020,5595
Machinery and equipment and weapons,2021,4851
Machinery and equipment and weapons,2022,5619
Machinery and equipment and weapons,2023,5624
Total construction (Buildings and structures),1995,2938.139
Total construction (Buildings and structures),1996,3195.034
Total construction (Buildings and structures),1997,4520.267
Total construction (Buildings and structures),1998,5593.875
Total construction (Buildings and structures),1999,5642.503
Total construction (Buildings and structures),2000,5087.317
Total construction (Buildings and structures),2001,6125.834
Total construction (Buildings and structures),2002,4416.019
Total construction (Buildings and structures),2003,3246.394
Total construction (Buildings and structures),2004,2675.599
Total construction (Buildings and structures),2005,3471.012
Total construction (Buildings and structures),2006,2414.454
Total construction (Buildings and structures),2007,2786.27
Total construction (Buildings and structures),2008,3092.806
Total construction (Buildings and structures),2009,866.381
Total construction (Buildings and structures),2010,978.567
Total construction (Buildings and structures),2011,1182.487
Total construction (Buildings and structures),2012,1756.729
Total construction (Buildings and structures),2013,1547.682
Total construction (Buildings and structures),2014,1378.237
Total construction (Buildings and structures),2015,1950.771
Total construction (Buildings and structures),2016,3131.591
Total construction (Buildings and structures),2017,4812.761
Total construction (Buildings and structures),2018,5062.804
Total construction (Buildings and structures),2019,4887.994
Total construction (Buildings and structures),2020,4859.364
Total construction (Buildings and structures),2021,1680.864
Total construction (Buildings and structures),2022,1668
Total construction (Buildings and structures),2023,1561