Country,Year,net_interest_margin,bank_concentration,ROA,ROE,cost_income_ratio
Spain,1996,1.977145,74.21595,0.3603657,6.887908,76.39729
Spain,1997,1.871238,75.52441,0.396616,7.959972,73.49062
Spain,1998,1.934235,77.65771,0.5978914,11.45466,69.03451
Spain,1999,1.706713,83.6652,0.6128724,10.93825,69.59809
Spain,2000,0.8835245,69.4521,0.3332662,5.612804,63.96966
Spain,2001,2.712465,73.32962,0.6420037,7.296955,65.10812
Spain,2002,2.769121,83.76247,0.6312177,7.134872,67.74094
Spain,2003,2.601894,95.40198,0.5672075,6.816206,62.51665
Spain,2004,3.103031,84.71886,1.400947,22.01974,51.80342
Spain,2005,1.175623,67.17698,0.5836177,9.184071,50.744
Spain,2006,1.743283,64.38963,0.968725,14.93166,46.3682
Spain,2007,1.60267,66.82793,1.036569,16.40654,44.54966
Spain,2008,1.473427,65.27963,0.8279584,12.83896,48.21254
Spain,2009,1.852287,62.95925,0.6918331,9.972744,45.15731
Spain,2010,1.787606,58.65104,0.5611132,7.866732,44.26566
Spain,2011,1.575529,51.63906,0.0833209,1.211923,49.97574
Spain,2012,1.706297,51.36002,-1.37869,-9.014886,57.03896
Spain,2013,1.313164,57.1553,0.131001,1.935322,61.97633
Spain,2014,1.322533,58.49492,0.3126393,4.003542,56.23128
Spain,2015,1.015209,58.38889,0.3865522,4.638082,59.10026
Spain,2016,1.011266,62.12228,0.2010863,2.261995,67.10549
Spain,2017,3.12113,73.16031,0.1737202,2.209049,59.65049
Canada,1996,1.694122,31.44951,0.4113863,6.329489,63.8754
Canada,1997,1.361478,36.71303,0.2663741,4.369317,72.78575
Canada,1998,1.243682,47.28006,0.1391612,2.357974,57.52503
Canada,1999,1.414196,51.45016,0.2546441,3.545516,65.16665
Canada,2000,2.005636,53.01807,-0.1624617,-1.901708,64.45959
Canada,2001,1.71966,64.76083,0.334717,3.937143,61.23987
Canada,2002,2.189671,70.73634,0.47569,5.961229,75.14383
Canada,2003,2.344324,79.52374,0.7586672,10.78747,63.13946
Canada,2004,2.094519,82.14366,0.8605136,11.72532,64.47861
Canada,2005,1.595725,86.8497,0.6573492,8.040482,59.48352
Canada,2006,1.843507,80.67431,0.7755173,9.15598,50.66867
Canada,2007,2.103029,74.34552,0.6635198,7.951903,51.79405
Canada,2008,1.766837,78.06583,0.4391466,8.764636,49.2122
Canada,2009,2.902739,81.03796,0.5645332,6.406258,39.25733
Canada,2010,4.056581,60.00549,1.322358,17.16163,65.51126
Canada,2011,3.214677,58.01505,1.428305,25.06744,60.07911
Canada,2012,1.852186,58.69725,0.8743626,15.35121,59.32996
Canada,2013,1.776565,59.75689,0.832249,14.173,60.40269
Canada,2014,1.71694,60.91996,0.8244701,13.93571,60.63363
Canada,2015,1.657783,60.81754,0.7767927,13.01498,60.15539
Canada,2016,1.731824,61.04963,0.7943812,13.53306,59.53608
Canada,2017,1.751134,60.46458,0.8864451,14.46432,58.45525
Germany,1996,1.655058,53.54494,0.2713325,6.251071,69.95189
Germany,1997,1.594081,53.88665,0.2827004,6.82453,67.36173
Germany,1998,1.366075,66.49064,0.5772104,14.08641,71.95911
Germany,1999,1.26905,60.37332,0.1764171,4.4768,77.88913
Germany,2000,1.172217,65.73908,0.2639304,6.862663,77.70041
Germany,2001,1.095713,66.39977,0.177911,4.636519,83.07466
Germany,2002,1.222269,67.65781,-0.0838343,-2.234515,72.36877
Germany,2003,1.022003,67.27261,-0.3259492,-9.462308,81.70755
Germany,2004,1.056442,68.73843,-0.0491097,-1.636351,77.91451
Germany,2005,0.9114202,72.9529,0.2953713,10.54119,63.54543
Germany,2006,1.042525,72.13642,0.2775192,9.862115,68.92436
Germany,2007,0.9935679,72.3659,0.4575559,15.95911,69.43895
Germany,2008,0.9310865,72.8542,-0.3142872,-12.19859,95.08035
Germany,2009,1.115468,76.65178,-0.1243668,-4.732599,81.60583
Germany,2010,0.9368595,78.14114,0.0655814,2.036723,83.19586
Germany,2011,0.7917785,78.60052,0.0166891,0.510941,83.52902
Germany,2012,0.8120083,77.32761,0.1290293,3.926343,72.83808
Germany,2013,0.8753557,73.39973,0.1274551,3.376758,79.43559
Germany,2014,0.9516973,73.91946,0.1277768,2.968352,79.31863
Germany,2015,0.7245277,69.05563,0.1042094,2.268738,84.50441
Germany,2016,0.8077899,66.94147,0.1468804,3.036412,83.64812
Germany,2017,1.292529,70.36388,0.153592,2.992097,85.08998
France,1996,1.163104,46.15041,-0.0478128,1.713713,80.55374
France,1997,1.062183,46.06736,0.0809923,3.907789,76.96407
France,1998,1.200872,52.98952,0.2897801,9.024386,73.40135
France,1999,1.096259,51.18596,0.2775375,6.830038,73.58725
France,2000,0.9332333,56.82073,0.414706,9.914549,70.95005
France,2001,0.8873011,59.3824,0.4319205,11.29483,67.58424
France,2002,1.160776,54.99183,0.4115937,10.36709,67.70937
France,2003,1.1219,57.4284,0.3857489,9.549274,64.17986
France,2004,0.9990187,62.29435,0.5072047,13.19187,65.22909
France,2005,0.8398202,65.08351,0.4286944,12.84561,65.54935
France,2006,0.8212216,64.53931,0.6770203,20.98766,68.13039
France,2007,0.7231311,60.61681,0.1843615,6.082778,78.42342
France,2008,0.9540484,60.55455,-0.3000354,-11.32417,77.80331
France,2009,1.068585,62.50968,0.18839,6.656829,58.03981
France,2010,0.9447849,63.82421,0.2986441,9.187691,68.65709
France,2011,0.9479612,62.62951,0.1061389,3.292422,70.81281
France,2012,0.8240212,61.79111,0.2818974,8.636497,65.44799
France,2013,0.9280804,60.34596,0.3433671,9.556211,67.62044
France,2014,0.7137627,61.12872,0.0710251,1.931778,78.05645
France,2015,0.6791037,57.4673,0.3076715,8.039317,66.86791
France,2016,0.6521069,57.67027,0.4079953,9.760703,62.27831
France,2017,1.295202,57.10342,0.4122148,8.683326,67.16732
United Kingdom,1996,0.632252,65.61465,1.068405,20.96543,66.61401
United Kingdom,1997,1.801878,67.53336,1.024805,17.34237,71.58963
United Kingdom,1998,1.732763,64.12926,1.068924,17.95084,68.38531
United Kingdom,1999,1.307598,29.44081,0.6449398,10.23649,56.4103
United Kingdom,2000,1.260205,33.88561,1.292458,18.04026,48.22784
United Kingdom,2001,0.9536953,35.85346,0.6862215,8.472572,70.02097
United Kingdom,2002,1.396546,36.48047,0.9521692,9.896842,77.71185
United Kingdom,2003,1.88263,33.83769,1.161876,10.81486,64.13512
United Kingdom,2004,2.907988,65.45769,1.897159,34.45523,61.2474
United Kingdom,2005,1.336547,54.57739,0.7173374,16.54893,58.44055
United Kingdom,2006,1.143474,54.2478,0.6314869,17.42725,59.35381
United Kingdom,2007,0.8956223,60.37531,0.703691,19.68889,57.33902
United Kingdom,2008,0.7922723,63.85191,0.1231193,4.023073,62.1573
United Kingdom,2009,0.306504,56.58817,-0.046077,-1.548923,55.39728
United Kingdom,2010,2.306454,56.4591,-0.0120961,-0.2947041,56.22438
United Kingdom,2011,1.796791,56.91122,0.0652785,1.366827,57.40832
United Kingdom,2012,1.273462,54.43546,-0.2360448,-4.768877,65.78607
United Kingdom,2013,1.574327,51.20696,0.1888131,3.787344,63.39291
United Kingdom,2014,1.593198,54.65313,0.2546146,4.604003,68.20911
United Kingdom,2015,1.722024,51.4485,0.4721194,7.306228,69.67176
United Kingdom,2016,1.690512,51.11857,0.3314057,4.029036,70.28019
United Kingdom,2017,2.607855,49.10762,0.411891,6.173577,68.72744
United States,1996,4.171623,22.85571,1.233492,15.99013,62.3178
United States,1997,4.180934,20.18565,1.275812,16.13085,59.8671
United States,1998,3.809362,22.09705,1.192335,14.69479,61.82589
United States,1999,4.316173,21.62656,1.412366,16.94723,60.10971
United States,2000,3.829258,21.44304,1.161924,13.674,60.52453
United States,2001,3.830359,23.11351,1.129908,12.67301,58.73942
United States,2002,3.945479,23.44224,1.284484,13.82064,55.98565
United States,2003,3.710412,23.31936,1.382554,14.87239,56.2563
United States,2004,3.505911,28.05983,1.294429,13.2905,58.37702
United States,2005,3.472009,29.9549,1.294587,12.72101,57.94226
United States,2006,3.211058,32.7963,1.272185,12.47759,58.26897
United States,2007,3.135311,34.0481,0.8738531,8.57673,61.59327
United States,2008,3.099291,35.51176,0.1026074,1.453875,63.64494
United States,2009,3.411799,35.05331,0.1633892,1.645415,58.03987
United States,2010,3.81113,34.61526,0.6645814,5.964797,58.18309
United States,2011,3.640105,35.61371,0.8624091,7.635957,60.6937
United States,2012,3.525142,35.08058,0.9887175,8.795774,60.96696
United States,2013,3.42765,35.00354,1.049941,9.378038,60.02292
United States,2014,3.461176,36.13513,1.022491,9.09047,61.15619
United States,2015,3.335331,34.82014,1.055952,9.321303,59.01018
United States,2016,3.326404,35.11972,1.044343,9.287619,57.71189
United States,2017,3.420695,34.84361,0.9640934,8.536428,57.41523
Italy,1996,2.983883,46.9259,0.0932388,1.48243,71.97457
Italy,1997,2.519611,47.84973,0.408594,6.40012,66.34079
Italy,1998,2.266686,55.75092,0.5824869,9.038733,62.64192
Italy,1999,1.891807,62.1862,0.530421,8.522511,66.58222
Italy,2000,2.05941,75.96104,0.8894736,14.80347,61.52906
Italy,2001,2.189937,66.75957,0.4239095,6.549083,60.45029
Italy,2002,1.37617,56.66732,-0.0241941,-0.3333253,68.0432
Italy,2003,1.675234,64.76309,0.2059282,2.308988,67.49271
Italy,2004,2.526622,82.59208,2.023283,15.35916,82.07965
Italy,2005,3.817654,31.79446,1.484019,17.24236,61.36578
Italy,2006,2.361568,30.8398,1.004557,12.20589,60.89216
Italy,2007,2.135886,44.92985,0.8078198,9.082298,63.34629
Italy,2008,1.853105,51.7973,0.5070056,5.448462,65.96421
Italy,2009,1.650347,53.23537,0.2345598,2.534089,63.49298
Italy,2010,1.567468,61.56187,0.3024523,3.056099,63.98109
Italy,2011,1.43244,62.55447,-1.066254,-11.34362,73.5502
Italy,2012,1.446643,61.80725,-0.0663009,-0.7497872,67.88566
Italy,2013,1.299654,62.7711,-1.253468,-14.46505,81.75796
Italy,2014,1.325132,64.38723,-0.2217697,-2.611756,65.64462
Italy,2015,1.12606,62.91106,0.1976415,2.222113,66.29988
Italy,2016,1.148574,59.4027,-0.883881,-10.51883,81.85949
Italy,2017,1.769918,71.09868,0.6948252,9.280309,58.20581
Japan,1996,1.240786,29.60123,-0.4309788,-12.05494,54.72184
Japan,1997,1.171709,32.52925,0.0261168,0.9301822,57.54229
Japan,1998,1.217005,33.28231,-0.5338812,-16.36926,60.78369
Japan,1999,1.374111,31.7598,-0.7490464,-16.90996,59.59937
Japan,2000,1.486815,32.23289,0.0881505,2.851631,61.75456
Japan,2001,1.228424,34.96366,-0.0689072,-0.8880411,58.07521
Japan,2002,1.266509,38.54346,-0.6935899,-15.46856,55.33243
Japan,2003,1.455906,36.53641,-0.7558788,-20.76761,53.43523
Japan,2004,1.388674,36.96986,-0.1482193,-1.217271,54.02142
Japan,2005,1.226512,37.19146,0.0605637,1.123792,52.43472
Japan,2006,1.1382,40.01756,0.5011421,10.5452,53.15772
Japan,2007,1.195796,38.2675,0.4355563,8.277963,54.91754
Japan,2008,1.249396,44.95909,0.2790495,5.720348,57.12469
Japan,2009,1.129967,44.64634,-0.1355258,-3.330404,61.74952
Japan,2010,1.119192,44.00381,0.2189481,5.127598,62.66513
Japan,2011,1.125781,43.24121,0.2558111,6.217078,60.47922
Japan,2012,1.023254,43.07323,0.276377,5.543663,61.5082
Japan,2013,0.8871613,43.0024,0.293187,5.755773,60.47351
Japan,2014,0.9150746,44.75411,0.3125019,5.914184,61.70309
Japan,2015,0.8187951,44.70848,0.2957819,5.589178,59.45892
Japan,2016,0.760108,44.05575,0.2553093,4.87649,63.68847
Japan,2017,0.8443036,47.47176,0.2824156,5.316998,68.6731